Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Argentina,ARG,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,-4.6480736792866,4.13731328278936,-2.95875813678136,4.65333180596824,-6.56084733753086,-6.0326527946458,-8.72609771675619,12.1277713910761,..,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.20911189491323,4.30191380564475,4.20181586904703,4.07011168693629,3.97565074444479,3.74202981162433,3.4056175404138,..,..,..
Argentina,ARG,Control of Corruption: Estimate,CC.EST,-0.549443066120148,-0.580868721008301,-0.298964887857437,-0.308798342943192,-0.098668172955513,-0.106940247118473,-0.16378065943718,-0.422272920608521,-0.447030484676361,..
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13567.9484159809,13789.060424772,13360.2118345982,13595.0373551081,13105.397163317,12716.2242038544,11346.6521128461,12444.3182669731,12940.7384352157,..
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19649.3528905429,20058.3386388829,20248.7213872191,23514.6670870249,24498.378926706,23535.01275094,22302.1504890016,26086.8023552274,29037.4069656523,..
Argentina,ARG,Government Effectiveness: Estimate,GE.EST,-0.110760383307934,-0.0493510514497757,0.219068825244904,0.135000482201576,0.0280940532684326,-0.120677568018436,-0.253818213939667,-0.389672070741653,-0.282877296209335,..
Brazil,BRA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,-1.49022907072495,-6.34500784644631,-4.36294646187618,2.93851887814527,0.330306855110223,0.99722976347762,-3.39755656431684,2.84221710586733,..,..
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.51459195963426,2.36536062099671,2.16125984748939,2.18548661863967,2.06426147881772,2.05077012882977,1.94252335631484,..,..,..
Brazil,BRA,Control of Corruption: Estimate,CC.EST,-0.365745902061462,-0.457372844219208,-0.445450931787491,-0.559335768222809,-0.480606287717819,-0.407679289579391,-0.428935021162033,-0.498797684907913,-0.566063046455383,..
Brazil,BRA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,9183.4597265639,8783.2154236384,8426.84322068885,8470.94060378721,8553.86590205122,8592.21120694388,8255.56801342826,8621.7315820454,8831.12772868621,..
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15564.8009999636,14567.7060619891,14057.3132470451,14293.6046394285,15165.0631526578,15741.4785048749,15759.0782300803,17450.5086501913,19132.8115026954,..
Brazil,BRA,Government Effectiveness: Estimate,GE.EST,-0.175329744815826,-0.254576027393341,-0.248414695262909,-0.316740095615387,-0.520446002483368,-0.233971297740936,-0.465359300374985,-0.492295622825623,-0.587532162666321,..
Chile,CHL,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,0.571998729179029,4.66720915082064,-1.45830302404279,-0.541910691154612,-0.832606951983465,1.0760027095025,-10.5634011488249,5.33500509842129,..,..
Chile,CHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.3285934591455,4.60323610513279,4.78352570264377,4.74380241866313,4.62965705867727,4.82762007480769,4.39515106359663,..,..,..
Chile,CHL,Control of Corruption: Estimate,CC.EST,1.44105923175812,1.1831693649292,1.02332496643066,1.00147747993469,0.958148717880249,0.979157269001007,1.10673403739929,0.956733345985413,0.968280136585236,..
Chile,CHL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13418.9757682399,13567.3572174332,13642.0180926986,13612.9242460618,13904.1153384034,13758.7470143212,12738.7248380454,14093.0909316533,14355.606236598,..
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,22779.4276703281,22691.4866244485,23492.2878567238,24546.9124213942,25564.5367168945,25853.76962859,25464.8508639256,29148.2424509188,31436.5753356007,..
Chile,CHL,Government Effectiveness: Estimate,GE.EST,1.03544294834137,0.919540107250214,0.834684908390045,0.809503495693207,0.907250463962555,0.863591849803925,0.70538467168808,0.592204332351685,0.546773970127106,..
Colombia,COL,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,4.34352738808168,3.27608979089433,1.48833777423376,0.0599399254074058,-0.0096462870572509,1.93995436933574,-6.70365637999922,6.52492178097499,..,..
Colombia,COL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.71582096359122,1.71939023077553,1.75379580314977,1.56507517599547,1.61039151744768,1.57782014077396,1.55225942282078,..,..,..
Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.397179245948792,-0.352239668369293,-0.384032636880875,-0.42944523692131,-0.339970648288727,-0.283157199621201,-0.251915633678436,-0.365435123443604,-0.361808151006699,..
Colombia,COL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6107.08301998517,6228.65162186089,6291.07969821527,6280.8910508698,6320.99074757592,6404.10876575117,5852.98323540006,6423.85989537142,6842.53251183401,..
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13323.1690837161,13289.6744891677,13971.3395877313,14334.9146083622,15161.3179744309,16091.4990479231,15416.3298423561,17586.5239590949,20951.5364160966,..
Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.13524903357029,-0.0933124199509621,-0.0364807955920696,-0.140618026256561,-0.139319524168968,0.032749880105257,0.00868012197315693,-0.0466581918299198,0.0144156282767653,..
Costa Rica,CRI,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,2.49826687346327,4.74057818440019,4.23376628753802,1.22523085194743,0.816459515260547,1.96902327253903,-5.60461121822964,3.77465610886334,..,..
Costa Rica,CRI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.61681138693653,1.53984215693524,1.61952841186564,1.63671577915361,1.62012119663525,1.56482445188662,1.35999554957394,..,..,..
Costa Rica,CRI,Control of Corruption: Estimate,CC.EST,0.725670099258423,0.687304258346558,0.678494036197662,0.432417333126068,0.501532554626465,0.627239465713501,0.661663234233856,0.470483005046844,0.465849369764328,..
Costa Rica,CRI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11240.7115867772,11529.9551730192,11893.323254213,12267.1620386503,12470.9574208108,12662.4228535715,12030.0485934011,12906.9970447313,13424.4647013731,..
Costa Rica,CRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16132.6578757111,17248.7473968748,18898.075223414,20168.2204811346,21144.4097740325,22949.5286593344,21716.8702432685,23700.2961314063,26181.1420172426,..
Costa Rica,CRI,Government Effectiveness: Estimate,GE.EST,0.363258302211761,0.306994050741196,0.284244060516357,0.222507447004318,0.352696746587753,0.347733318805695,0.196720212697983,0.224117517471313,0.0532664284110069,..
Cuba,CUB,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,2.74624376602345,5.10011330927938,3.34328990307971,1.5112758842148,1.03771320884253,0.394439562442386,..,..,..,..
Cuba,CUB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.35413332090837,2.57584418337596,2.39608281140947,2.31478144967474,2.35469857464228,2.15774090266798,2.15276967847473,..,..,..
Cuba,CUB,Control of Corruption: Estimate,CC.EST,0.0629153475165367,0.0384895987808704,0.135692074894905,0.23263481259346,0.134128853678703,0.0146971046924591,-0.154578611254692,-0.0332559123635292,-0.0693471655249596,..
Cuba,CUB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7362.31125920052,7683.74025365669,7721.70356978028,7865.33860875385,8047.94103064616,8043.01419726511,7172.51792767657,7291.0377716217,7449.68287994077,..
Cuba,CUB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..
Cuba,CUB,Government Effectiveness: Estimate,GE.EST,-0.034200482070446,0.00330557837150991,-0.123933307826519,-0.198374405503273,-0.250046610832214,-0.177793011069298,-0.203546971082687,-0.248740553855896,-0.350331842899323,..
Ecuador,ECU,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,2.52689378383361,0.0126848871650651,-3.2915356172189,0.563674841473798,-4.59651468186009,-1.42919679718196,-6.75498997606209,1.6633176368793,..,..
Ecuador,ECU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.61945204390978,2.55560326309705,2.42048080897419,2.30876380731708,2.36682982605683,2.28505501120289,1.95757534925331,..,..,..
Ecuador,ECU,Control of Corruption: Estimate,CC.EST,-0.740625321865082,-0.672159254550934,-0.680526971817017,-0.62584400177002,-0.629149854183197,-0.509074687957764,-0.503777742385864,-0.594089090824127,-0.629928469657898,..
